Starts: P1, pid=6020, time=100
Done: P1, pid=6020, time=200
Starts: P3, pid=6022, time=200
Done: P3, pid=6022, time=400
Starts: P2, pid=6021, time=400
Done: P2, pid=6021, time=4400
Starts: P4, pid=6023, time=4400
Done: P4, pid=6023, time=8400
Starts: P5, pid=6024, time=8400
Done: P5, pid=6024, time=15400
