Starts: P1, pid=6094, time=0
Starts: P2, pid=6095, time=500
Starts: P3, pid=6096, time=1000
Starts: P4, pid=6097, time=1500
Starts: P5, pid=6098, time=2000
Starts: P6, pid=6099, time=3000
Starts: P7, pid=6100, time=3500
Done: P4, pid=6097, time=5500
Done: P5, pid=6098, time=6000
Done: P6, pid=6099, time=7000
Done: P3, pid=6096, time=14500
Done: P7, pid=6100, time=18500
Done: P2, pid=6095, time=20000
Done: P1, pid=6094, time=23000
