Starts: P1, pid=6061, time=1200
Starts: P2, pid=6062, time=2700
Starts: P3, pid=6063, time=4200
Starts: P4, pid=6064, time=6200
Starts: P5, pid=6065, time=6700
Starts: P6, pid=6066, time=8200
Done: P3, pid=6063, time=18200
Done: P1, pid=6061, time=19700
Done: P2, pid=6062, time=20200
Done: P6, pid=6066, time=28200
Done: P5, pid=6065, time=30200
Done: P4, pid=6064, time=31200
