Starts: P1, pid=5981, time=0
Starts: P2, pid=5982, time=1000
Done: P2, pid=5982, time=2000
Done: P1, pid=5981, time=4000
Starts: P3, pid=5983, time=4000
Starts: P4, pid=5984, time=5000
Done: P4, pid=5984, time=7000
Starts: P5, pid=5985, time=7000
Done: P5, pid=5985, time=8000
Done: P3, pid=5983, time=11000
