Starts: P1, pid=6077, time=0
Starts: P2, pid=6078, time=500
Starts: P3, pid=6079, time=1000
Starts: P4, pid=6080, time=1500
Starts: P5, pid=6081, time=2000
Starts: P6, pid=6082, time=2500
Starts: P7, pid=6083, time=3500
Done: P4, pid=6080, time=5500
Done: P5, pid=6081, time=6000
Done: P6, pid=6082, time=6500
Done: P3, pid=6079, time=14500
Done: P7, pid=6083, time=18500
Done: P2, pid=6078, time=20000
Done: P1, pid=6077, time=23000
