Starts: P1, pid=5910, time=0
Done: P1, pid=5910, time=8000
Starts: P2, pid=5911, time=8000
Done: P2, pid=5911, time=13000
Starts: P3, pid=5912, time=13000
Done: P3, pid=5912, time=16000
Starts: P4, pid=5913, time=16000
Done: P4, pid=5913, time=17000
Starts: P5, pid=5914, time=17000
Done: P5, pid=5914, time=18000
Starts: P6, pid=5915, time=18000
Done: P6, pid=5915, time=19000
Starts: P7, pid=5916, time=19000
Done: P7, pid=5916, time=23000
